# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 46 8 206 12 39
10001 48 9 101 30 83
10002 342 9 179 0 0
10003 280 10 50 13 26
10004 322 10 130 0 0
10005 275 4 359 87 217
10006 306 1 377 0 0
10007 223 5 395 36 316
10008 487 8 234 62 115
10009 316 6 106 34 32
10010 466 10 387 40 145
10011 126 4 115 0 0
10012 432 4 76 0 0
10013 41 6 337 0 0
10014 497 1 212 0 0
10015 328 3 379 93 277
10016 228 10 275 0 0
10017 94 10 341 0 0
10018 239 7 219 18 80
10019 37 7 475 0 0
10020 411 3 127 0 0
10021 29 9 338 0 0
10022 258 5 110 18 35
10023 341 2 17 0 0
10024 276 6 390 78 254
10025 176 5 174 85 35
10026 116 10 69 38 51
10027 27 6 482 0 0
10028 104 5 9 0 0
10029 186 3 324 0 0
