# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 73 9 183 73 74
10001 312 3 423 0 0
10002 462 7 168 10 155
10003 362 1 498 49 160
10004 6 10 310 34 4
10005 221 3 435 0 0
10006 319 6 404 7 289
10007 277 5 214 0 0
10008 70 3 139 0 0
10009 126 5 399 0 0
10010 118 5 360 37 194
10011 414 3 259 25 174
10012 462 6 477 0 0
10013 63 8 477 26 456
10014 429 8 298 67 275
10015 342 5 451 0 0
10016 191 3 159 1 32
10017 98 2 482 58 448
10018 483 7 227 63 8
10019 172 7 383 68 43
10020 107 1 26 0 0
10021 367 1 115 81 87
10022 69 4 181 0 0
10023 363 3 215 0 0
10024 144 4 344 0 0
10025 430 9 178 4 89
10026 295 5 78 61 17
10027 328 6 195 0 0
10028 248 10 354 94 47
10029 351 4 33 19 1
