# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 160 4 279 0 0
10001 384 4 120 0 0
10002 388 6 289 6 185
10003 452 4 491 0 0
10004 268 9 141 87 141
10005 487 6 69 53 39
10006 63 8 145 97 33
10007 285 4 28 0 0
10008 406 3 291 57 132
10009 160 8 163 0 0
10010 223 7 332 38 254
10011 440 6 328 78 211
10012 309 6 6 6 5
10013 99 6 122 31 83
10014 135 10 495 0 0
10015 327 1 421 92 264
10016 416 6 448 0 0
10017 268 9 165 99 115
10018 359 2 211 26 7
10019 93 8 382 81 297
10020 215 1 367 51 259
10021 200 3 260 0 0
10022 34 2 59 41 0
10023 197 7 313 0 0
10024 92 10 224 65 4
10025 399 1 257 16 139
10026 243 4 394 41 23
10027 220 3 294 0 0
10028 180 10 361 0 0
10029 130 5 95 0 0
