# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 447 9 337 0 0
10001 311 3 430 34 383
10002 183 1 254 9 213
10003 135 2 265 96 37
10004 455 4 164 0 0
10005 392 6 152 0 0
10006 410 7 325 80 312
10007 500 1 343 0 0
10008 356 6 282 54 113
10009 40 3 187 0 0
10010 213 2 344 13 131
10011 296 3 267 87 59
10012 57 4 80 4 68
10013 261 8 363 44 55
10014 352 1 297 83 124
10015 259 1 438 46 99
10016 170 4 414 48 107
10017 234 1 483 80 100
10018 273 10 335 3 123
10019 212 9 455 0 0
10020 189 9 120 0 0
10021 107 1 465 28 13
10022 266 7 103 90 66
10023 189 5 225 0 0
10024 381 1 168 0 0
10025 122 6 287 82 46
10026 110 7 260 0 0
10027 26 3 439 92 16
10028 217 8 458 0 0
10029 333 8 43 0 0
