# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 41 1 484 0 0
10001 236 2 175 0 0
10002 480 7 54 0 0
10003 120 2 490 10 155
10004 470 3 253 17 99
10005 197 3 337 64 335
10006 259 8 406 0 0
10007 156 8 80 17 58
10008 316 3 477 0 0
10009 310 4 317 31 215
10010 398 1 242 32 26
10011 462 3 420 0 0
10012 86 6 106 23 76
10013 386 5 412 33 91
10014 149 2 356 32 118
10015 225 8 71 45 8
10016 34 2 260 0 0
10017 70 1 80 92 69
10018 465 4 396 0 0
10019 206 8 392 0 0
10020 216 5 429 52 417
10021 112 7 105 48 12
10022 341 10 477 48 160
10023 269 4 478 94 197
10024 171 10 413 0 0
10025 280 3 72 0 0
10026 115 3 112 17 42
10027 431 10 128 76 71
10028 89 10 395 30 162
10029 53 4 358 0 0
