# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 308 6 44 54 4
10001 165 2 67 0 0
10002 364 5 435 81 141
10003 423 1 234 0 0
10004 440 3 173 3 61
10005 4 3 369 82 293
10006 215 3 225 62 102
10007 151 2 497 15 430
10008 345 10 205 52 190
10009 213 2 290 73 61
10010 424 6 274 0 0
10011 495 2 323 0 0
10012 369 1 367 19 78
10013 499 7 479 87 199
10014 38 4 349 29 282
10015 409 5 344 0 0
10016 398 9 113 24 111
10017 375 7 12 0 0
10018 333 1 331 30 72
10019 369 10 171 87 15
10020 434 6 290 0 0
10021 47 2 65 30 38
10022 474 3 390 0 0
10023 254 6 194 34 104
10024 14 3 192 0 0
10025 333 8 74 52 64
10026 404 4 164 42 109
10027 380 3 3 0 0
10028 356 8 298 68 45
10029 0 3 375 0 0
