# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 216 3 166 73 45
10001 27 3 319 23 249
10002 42 2 328 0 0
10003 423 1 201 0 0
10004 178 7 344 77 145
10005 382 8 423 74 39
10006 500 6 289 0 0
10007 113 8 139 42 1
10008 100 1 276 0 0
10009 46 1 173 16 130
10010 296 9 17 0 0
10011 50 10 324 0 0
10012 210 5 99 46 16
10013 101 4 68 0 0
10014 2 8 15 78 11
10015 379 1 110 89 44
10016 199 7 340 0 0
10017 404 9 304 34 211
10018 24 6 242 0 0
10019 368 6 207 0 0
10020 448 6 218 1 162
10021 97 10 334 89 211
10022 57 2 234 0 0
10023 489 9 8 0 0
10024 96 3 219 0 0
10025 347 2 286 65 235
10026 339 4 116 0 0
10027 336 2 215 0 0
10028 454 7 434 0 0
10029 243 3 400 0 0
