# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 31 2 73 91 73
10001 350 6 326 0 0
10002 401 8 311 0 0
10003 314 5 97 14 41
10004 20 5 72 0 0
10005 15 7 1 0 0
10006 332 8 209 48 88
10007 197 3 110 0 0
10008 154 4 93 20 92
10009 458 4 475 0 0
10010 425 10 236 0 0
10011 52 8 246 87 62
10012 209 7 293 20 60
10013 267 8 38 80 9
10014 309 7 420 4 185
10015 494 8 287 91 98
10016 65 4 43 0 0
10017 251 8 178 100 17
10018 65 6 279 0 0
10019 254 1 62 0 0
10020 273 4 226 0 0
10021 234 5 338 30 199
10022 393 4 393 38 194
10023 207 6 242 0 0
10024 412 4 57 70 41
10025 298 5 372 0 0
10026 493 2 470 0 0
10027 98 5 53 0 0
10028 315 6 253 0 0
10029 469 4 457 0 0
