# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 418 6 369 0 0
10001 218 1 195 93 193
10002 187 8 233 0 0
10003 136 4 479 27 444
10004 466 10 210 0 0
10005 156 2 138 56 104
10006 426 3 202 30 26
10007 465 7 347 40 225
10008 135 8 300 0 0
10009 39 3 490 0 0
10010 317 9 226 78 102
10011 339 5 477 21 269
10012 235 9 34 81 31
10013 214 4 76 52 64
10014 334 9 441 40 426
10015 94 2 197 9 137
10016 321 4 445 0 0
10017 428 6 371 0 0
10018 416 4 314 53 314
10019 447 3 150 0 0
10020 47 5 414 18 399
10021 358 7 350 98 331
10022 248 1 232 12 96
10023 299 2 258 69 132
10024 415 4 184 0 0
10025 155 3 462 0 0
10026 55 7 214 0 0
10027 330 1 133 56 70
10028 498 4 235 0 0
10029 212 9 311 70 306
