# pid  arrived_at   priority   cpu_burst  io_burst   io_request_time
10000 121 9 84 0 0
10001 372 4 420 45 24
10002 181 6 252 32 210
10003 433 10 265 0 0
10004 477 10 214 87 93
10005 326 7 421 0 0
10006 353 7 99 0 0
10007 463 2 268 58 103
10008 231 3 404 0 0
10009 120 5 247 0 0
10010 138 10 156 87 148
10011 10 3 354 0 0
10012 307 7 309 0 0
10013 401 7 1 0 0
10014 230 8 256 0 0
10015 404 1 405 0 0
10016 412 3 74 38 62
10017 182 6 389 0 0
10018 489 1 367 0 0
10019 384 4 382 0 0
10020 76 7 316 0 0
10021 404 5 180 52 48
10022 279 6 216 85 121
10023 412 6 489 68 248
10024 84 8 387 0 0
10025 418 8 366 0 0
10026 16 3 452 86 120
10027 215 2 14 0 0
10028 8 1 42 0 0
10029 34 4 367 31 46
